id,suhu,kelembapan,gas,waktu
150,26.1,59,199,2025-07-02 10:14:57.52559+00
151,26.1,59,245,2025-07-02 10:15:30.301267+00
152,26.1,59,235,2025-07-02 10:15:45.048152+00
153,26,59,238,2025-07-02 10:16:17.112444+00
154,26,59,250,2025-07-02 10:16:32.382894+00
155,25.9,59,266,2025-07-02 10:17:04.4969+00
156,25.8,59,267,2025-07-02 10:17:19.789295+00
157,25.6,59,267,2025-07-02 10:17:51.949478+00
158,25.6,59,267,2025-07-02 10:18:07.260268+00
159,25.5,60,266,2025-07-02 10:18:40.279988+00
160,25.5,60,266,2025-07-02 10:18:55.634394+00
161,25.4,60,265,2025-07-02 10:19:27.694404+00
162,25.4,61,265,2025-07-02 10:19:43.042935+00
163,25.3,61,265,2025-07-02 10:20:15.434536+00
164,25.3,61,264,2025-07-02 10:20:31.277134+00
165,25.2,61,264,2025-07-02 10:21:02.836011+00
166,25.2,61,264,2025-07-02 10:21:18.146563+00
167,25.2,61,262,2025-07-02 10:21:50.259781+00
168,25.2,61,262,2025-07-02 10:22:05.560596+00
169,25.1,61,262,2025-07-02 10:22:37.569547+00
170,25.1,61,261,2025-07-02 10:22:52.882268+00
171,25.1,62,261,2025-07-02 10:23:24.981335+00
172,25.1,62,261,2025-07-02 10:23:40.341764+00
173,25.1,62,261,2025-07-02 10:24:12.698728+00
174,25.1,62,260,2025-07-02 10:24:28.003398+00
175,25.1,62,259,2025-07-02 10:25:00.11407+00
176,25.1,62,259,2025-07-02 10:25:15.426482+00
177,25.1,62,259,2025-07-02 10:25:48.010084+00
178,25.1,62,258,2025-07-02 10:26:02.838663+00
179,25.1,62,258,2025-07-02 10:26:34.939433+00
180,25.1,62,258,2025-07-02 10:26:50.261947+00
181,25.1,62,257,2025-07-02 10:27:22.566854+00
182,25.1,62,257,2025-07-02 10:27:37.874971+00
183,25.1,62,257,2025-07-02 10:28:10.043549+00
184,25.1,62,257,2025-07-02 10:28:25.353799+00
185,25.1,62,257,2025-07-02 10:28:57.364564+00
186,25.1,62,256,2025-07-02 10:29:12.684898+00
187,25.1,62,235,2025-07-02 10:29:44.913793+00
188,25.1,62,233,2025-07-02 10:30:00.204174+00
189,25.2,62,234,2025-07-02 10:30:32.410408+00
190,25.2,62,248,2025-07-02 10:30:47.855321+00
191,25.4,62,264,2025-07-02 10:31:20.475786+00
192,25.4,62,262,2025-07-02 10:31:35.336152+00
193,25.6,62,262,2025-07-02 10:32:07.72679+00
194,25.6,62,265,2025-07-02 10:32:23.065297+00
195,25.7,61,273,2025-07-02 10:32:55.165762+00
196,25.8,61,274,2025-07-02 10:33:10.538491+00
197,25.8,61,274,2025-07-02 10:33:42.886454+00
198,25.8,61,277,2025-07-02 10:33:58.198787+00
199,25.8,61,264,2025-07-02 10:34:30.729363+00
200,25.9,61,262,2025-07-02 10:34:46.009584+00
201,25.9,61,218,2025-07-02 10:35:18.108163+00
202,25.9,61,224,2025-07-02 10:35:33.431175+00
203,26,61,210,2025-07-02 10:36:05.629034+00
