id,suhu,kelembapan,gas,waktu
656,16.8,69,211,58:40.9
657,16.8,69,213,58:56.0
658,16.7,69,213,59:11.2
659,16.7,69,214,59:26.3
660,16.7,69,214,59:41.5
661,16.7,70,214,59:56.5
662,16.7,70,214,00:11.7
663,16.8,70,216,00:26.8
664,16.9,70,216,00:41.9
665,17,70,216,00:57.0
666,17.1,70,216,01:12.2
667,17.3,70,214,01:27.3
668,17.5,70,214,01:42.4
669,17.6,69,214,01:57.6
670,17.8,69,212,02:12.7
671,17.9,69,211,02:27.8
672,18,68,210,02:43.0
673,18.1,68,208,02:58.1
674,18.2,68,209,03:14.0
675,18.3,67,209,03:28.3
676,18.4,67,210,03:43.5
677,18.5,67,210,03:58.7
678,18.6,66,209,04:13.8
679,18.7,66,207,04:28.9
680,18.7,66,206,04:44.1
681,18.8,65,207,04:59.2
682,18.8,65,208,05:14.3
683,18.9,65,207,05:29.5
684,18.9,65,206,05:44.6
685,19,65,205,05:59.8
686,19,64,201,06:14.8
687,19.1,64,198,06:30.0
688,19.1,64,197,06:45.1
689,19.1,64,197,07:00.2
690,19.1,64,197,07:15.3
691,19.2,64,197,07:30.5
692,19.2,64,197,07:46.2
693,19.2,64,197,08:00.8
694,19.3,64,198,08:16.6
695,19.3,64,196,08:31.1
696,19.3,63,195,08:46.3
697,19.3,63,199,09:01.7
698,19.3,63,195,09:17.2
699,19.4,63,195,09:32.1
700,19.4,63,195,09:47.3
701,19.4,63,195,10:02.5
702,19.4,63,195,10:17.8
703,19.4,63,195,10:32.9
704,19.5,63,196,10:48.0
705,19.5,63,196,11:03.2
706,19.5,63,196,11:18.3
707,19.5,63,196,11:33.4
708,19.5,63,196,11:48.5
709,19.5,63,196,12:03.7
710,19.5,62,196,12:18.8
711,19.5,62,196,12:33.9
712,19.5,62,195,12:49.1
713,19.5,62,196,13:04.2
714,19.6,62,195,13:19.9
